TYPE,LATITUDE,LONGITUDE
INJURY,52.1147296,-106.5750528
INJURY,52.1642645,-106.564925
INJURY,52.1509958,-106.5988976
INJURY,52.1748614,-106.6464656
INJURY,52.15801,-106.65043
INJURY,52.1073258,-106.6308922
INJURY,52.1185,-106.73482
INJURY,52.1292578,-106.6782118
INJURY,52.1595865,-106.6731682
INJURY,52.0952845,-106.6465119
INJURY,52.1171374,-106.5705037
INJURY,52.1292539,-106.6829015
INJURY,52.1728855,-106.7001814
INJURY,52.0834355,-106.6046402
INJURY,52.1146711,-106.6464813
INJURY,52.1261275,-106.5853996
INJURY,52.1087439,-106.6323751
INJURY,52.1163537,-106.6112556
INJURY,52.1177975,-106.6389282
INJURY,52.1582685,-106.70056
INJURY,52.1218078,-106.6389293
INJURY,52.1491663,-106.5878988
INJURY,52.1292634,-106.6702202
INJURY,52.1430934,-106.5632619
INJURY,52.0839777,-106.632595
INJURY,52.1396659,-106.5989301
INJURY,52.1277361,-106.6940791
INJURY,52.143864,-106.7259235
INJURY,52.1548988,-106.68286
INJURY,52.1438669,-106.7022181
INJURY,52.1536963,-106.6347501
INJURY,52.1391048,-106.6300656
INJURY,52.1358231,-106.5527643
INJURY,52.1026872,-106.5725804
INJURY,52.1370124,-106.6992972
INJURY,52.1459655,-106.7529124
INJURY,52.1133726,-106.5964118
INJURY,52.1288755,-106.6389111
INJURY,52.1480629,-106.5580426
INJURY,52.1438512,-106.7390327
INJURY,52.172,-106.63368
INJURY,52.1578687,-106.6731915
INJURY,52.1281004,-106.6710679
INJURY,52.143858,-106.6940918
INJURY,52.1147628,-106.7181828
INJURY,52.1209694,-106.5465803
INJURY,52.1293499,-106.6077213
INJURY,52.1707844,-106.5816931
INJURY,52.1292577,-106.675056
INJURY,52.1974473,-106.6465394
INJURY,52.18073,-106.64047
INJURY,52.1438669,-106.7022181
INJURY,52.1405347,-106.5595773
INJURY,52.1945959,-106.6709126
INJURY,52.1278169,-106.7232433
INJURY,52.1293092,-106.7102977
INJURY,52.12186,-106.59892
INJURY,52.1722958,-106.6550284
INJURY,52.1277361,-106.6940791
INJURY,52.15787,-106.67319
INJURY,52.1146755,-106.7093432
INJURY,52.1946537,-106.6604532
INJURY,52.1416037,-106.6118015
INJURY,52.13338,-106.6813
INJURY,52.1945959,-106.6709126
INJURY,52.0869505,-106.6250405
INJURY,52.097064,-106.5988953
INJURY,52.1245898,-106.6782993
INJURY,52.1578687,-106.6731915
INJURY,52.150046,-106.5658149
INJURY,52.1324657,-106.7213917
INJURY,52.1047299,-106.6044846
INJURY,52.1061556,-106.6153125
INJURY,52.1147115,-106.6044195
INJURY,52.1235787,-106.5863755
INJURY,52.1293753,-106.7199723
INJURY,52.1698957,-106.670294
INJURY,52.1047336,-106.5989214
INJURY,52.1146927,-106.5938738
INJURY,52.1722918,-106.6533904
INJURY,52.089449,-106.6041261
INJURY,52.1438522,-106.6718183
INJURY,52.1047299,-106.6044846
INJURY,52.1435837,-106.7297126
INJURY,52.1578687,-106.6731915
INJURY,52.1291892,-106.6227346
INJURY,52.16866,-106.59887
INJURY,52.1369434,-106.7342921
INJURY,52.1392139,-106.6767886
INJURY,52.129206,-106.7588729
INJURY,52.1293092,-106.7102977
INJURY,52.1405347,-106.5595773
INJURY,52.1292634,-106.6702202
INJURY,52.1203227,-106.730886
INJURY,52.1874041,-106.6465047
INJURY,52.1330087,-106.7419711
INJURY,52.098772,-106.5394905
INJURY,52.1495092,-106.575063
INJURY,52.1342602,-106.6493223
INJURY,52.16874,-106.62721
INJURY,52.1292634,-106.6702202
INJURY,52.1058312,-106.6206014
INJURY,52.1294611,-106.728245
INJURY,52.1167417,-106.6540067
INJURY,52.13783,-106.65518
INJURY,52.1303306,-106.722902
INJURY,52.1580096,-106.6504341
INJURY,52.1425336,-106.6582213
INJURY,52.1425336,-106.6582213
INJURY,52.1729554,-106.6464537
INJURY,52.1476248,-106.6172953
INJURY,52.090329,-106.6465922
INJURY,52.1537,-106.63475
INJURY,52.1147115,-106.6044195
INJURY,52.1293092,-106.7102977
INJURY,52.0855629,-106.6226401
INJURY,52.1306604,-106.6623535
INJURY,52.1292538,-106.6734341
INJURY,52.1375834,-106.7433332
INJURY,52.1502168,-106.6131796
INJURY,52.1689892,-106.6587077
INJURY,52.1047299,-106.6044846
INJURY,52.0893389,-106.622675
INJURY,52.1291892,-106.6227346
INJURY,52.1044168,-106.7129956
INJURY,52.1230606,-106.5974446
INJURY,52.1292961,-106.7654804
INJURY,52.1985263,-106.6465354
INJURY,52.129381,-106.7214335
INJURY,52.1265456,-106.6227408
INJURY,52.1438565,-106.674683
INJURY,52.126174,-106.6813391
INJURY,52.1297773,-106.7084017
INJURY,52.1436772,-106.658103
INJURY,52.1275893,-106.7030147
INJURY,52.0852814,-106.6116978
INJURY,52.1364,-106.73261
INJURY,52.135666,-106.7257527
INJURY,52.1102795,-106.6096346
INJURY,52.1147834,-106.6260818
INJURY,52.1332646,-106.724564
INJURY,52.1042287,-106.5890471
INJURY,52.1147761,-106.6226931
INJURY,52.15782,-106.66486
INJURY,52.1428608,-106.7158006
INJURY,52.1784036,-106.6682579
INJURY,52.0903292,-106.6465776
INJURY,52.1477219,-106.5722229
INJURY,52.1342152,-106.6805314
INJURY,52.0799595,-106.6454516
INJURY,52.1536963,-106.6347501
INJURY,52.10199,-106.59799
INJURY,52.1276,-106.66763
INJURY,52.1462226,-106.5700216
INJURY,52.133177,-106.6598756
INJURY,52.1200608,-106.6571241
INJURY,52.1329734,-106.5984713
INJURY,52.1222629,-106.6533493
INJURY,52.1293094,-106.694095
INJURY,52.137013,-106.6703055
INJURY,52.0885609,-106.6308355
INJURY,52.155423,-106.5658136
INJURY,52.1689914,-106.6591904
INJURY,52.1072463,-106.6800866
INJURY,52.1344472,-106.723017
INJURY,52.1583581,-106.6621135
INJURY,52.1581052,-106.6513148
INJURY,52.14386,-106.67015
INJURY,52.1399237,-106.5798103
INJURY,52.1319387,-106.7254625
INJURY,52.148912,-106.6178536
INJURY,52.1591683,-106.6518074
INJURY,52.1577901,-106.6711272
INJURY,52.1502168,-106.6131796
INJURY,52.1461732,-106.5750768
INJURY,52.0890524,-106.6465744
INJURY,52.1924404,-106.6890472
INJURY,52.1345174,-106.717584
INJURY,52.1318108,-106.6858178
INJURY,52.1029673,-106.6378442
INJURY,52.1462865,-106.5699508
INJURY,52.1258118,-106.646483
INJURY,52.1439102,-106.7258376
INJURY,52.1003937,-106.5820339
INJURY,52.1261109,-106.67187
INJURY,52.1217999,-106.6225976
INJURY,52.1439102,-106.7258376
INJURY,52.0912439,-106.5730246
INJURY,52.1657933,-106.569643
INJURY,52.1546954,-106.6379151
INJURY,52.1536963,-106.6347501
INJURY,52.1648793,-106.574129
INJURY,52.1418744,-106.7056934
INJURY,52.2020614,-106.6554318
INJURY,52.1581052,-106.6513148
INJURY,52.088727,-106.6466938
INJURY,52.1945959,-106.6709126
INJURY,52.1281835,-106.5989427
INJURY,52.1316021,-106.660606
INJURY,52.15093,-106.67069
INJURY,52.1491974,-106.6721648
INJURY,52.14385,-106.6783073
INJURY,52.1438294,-106.5989039
INJURY,52.1292781,-106.7588612
INJURY,52.1438522,-106.6718183
INJURY,52.1050643,-106.6096366
INJURY,52.114782,-106.6352831
INJURY,52.126155,-106.7058234
INJURY,52.1177898,-106.65685
INJURY,52.1458085,-106.7003921
INJURY,52.1266988,-106.7587742
INJURY,52.1217984,-106.6331297
INJURY,52.1437782,-106.5820366
INJURY,52.114617,-106.646494
INJURY,52.1485045,-106.6702971
INJURY,52.0872418,-106.6254306
INJURY,52.1315931,-106.6701612
INJURY,52.149685,-106.6152506
INJURY,52.119976,-106.6940916
INJURY,52.1471872,-106.5772465
INJURY,52.1577785,-106.6675011
INJURY,52.0850316,-106.64088
INJURY,52.1294611,-106.728245
INJURY,52.1462226,-106.5700216
INJURY,52.1438563,-106.7178265
INJURY,52.1551975,-106.6833536
INJURY,52.150046,-106.5658149
INJURY,52.11062,-106.67661
INJURY,52.1152987,-106.6022352
INJURY,52.1147722,-106.6197134
INJURY,52.1219183,-106.6047514
INJURY,52.129222,-106.6976712
INJURY,52.1698957,-106.670294
INJURY,52.1160179,-106.7356268
INJURY,52.1638691,-106.67425
INJURY,52.1974165,-106.6228044
INJURY,52.1147777,-106.5869101
INJURY,52.1674849,-106.6441315
INJURY,52.1213238,-106.6771833
INJURY,52.0900221,-106.6226852
INJURY,52.1581052,-106.6513148
INJURY,52.2020567,-106.6519195
INJURY,52.1197964,-106.6464803
INJURY,52.0900221,-106.6226852
INJURY,52.1292781,-106.7588612
INJURY,52.1125682,-106.5719642
INJURY,52.1152427,-106.6221112
INJURY,52.13702,-106.68135
INJURY,52.1148556,-106.6227982
INJURY,52.1010092,-106.6043511
INJURY,52.1219346,-106.5989235
INJURY,52.0894292,-106.6226491
INJURY,52.1311199,-106.6673821
INJURY,52.1580899,-106.6549692
INJURY,52.1544559,-106.6817615
INJURY,52.1002165,-106.6429704
INJURY,52.170557,-106.6559144
INJURY,52.10741,-106.60467
INJURY,52.1312561,-106.6698272
INJURY,52.16358,-106.61303
INJURY,52.1977766,-106.6742511
INJURY,52.159153,-106.6605788
INJURY,52.0995523,-106.6703948
INJURY,52.1010092,-106.6043511
INJURY,52.1275887,-106.7271645
INJURY,52.1651842,-106.64469
INJURY,52.1167578,-106.6276581
INJURY,52.152843,-106.6294857
INJURY,52.1212535,-106.7250498
INJURY,52.1320958,-106.6683098
INJURY,52.1291892,-106.6227346
INJURY,52.1292124,-106.7058087
INJURY,52.114617,-106.646494
INJURY,52.1234993,-106.6613419
INJURY,52.1655758,-106.6800606
INJURY,52.1058312,-106.6206014
INJURY,52.1259233,-106.5791689
INJURY,52.1297412,-106.610672
INJURY,52.1260636,-106.6464776
INJURY,52.12791,-106.65798
INJURY,52.1245242,-106.6702621
INJURY,52.1577699,-106.6731878
INJURY,52.1874373,-106.6703662
